mpg,cylinders,cubicinches,hp,weightlbs,time-to-60,year
15.0,8,383,170,3563,10,1971
28.0,4,120,79,2625,19,1983
23.0,4,140,78,2592,19,1976
16.0,8,318,150,4498,15,1976
20.0,4,130,102,3150,16,1977
44.0,4,97,52,2130,25,1983
14.0,8,318,150,4096,13,1972
20.2,6,200,85,2965,16,1979
39.0,4,86,64,1875,16,1982
23.0,4,122,86,2220,14,1972
13.0,8,350,145,4055,12,1977
18.0,6,225,105,3121,17,1974
16.0,8,400,180,4220,11,1978
25.0,4,110,87,2672,18,1971
14.0,8,454,220,4354,9,1971
15.0,8,318,150,3399,11,1974
19.4,8,318,140,3735,13,1979
44.3,4,90,48,2085,22,1981
28.0,4,97,75,2155,16,1977
29.0,4,135,84,2525,16,1983
32.1,4,98,70,2120,16,1981
24.0,4,121,110,2660,14,1974
36.4,5,121,67,2950,20,1981
13.0,8,350,145,3988,13,1974
23.5,6,173,110,2725,13,1982
24.0,4,113,95,2372,15,1971
17.0,8,305,130,3840,15,1980
36.1,4,91,60,1800,16,1979
22.0,6,232,112,2835,15,1983
18.0,6,232,100,3288,16,1972
22.0,6,250,105,3353,15,1977
